Time;X Machine;Z Machine;Z Machine;Block time;
0:00:00;0.;5.;5.;0:00:00;
0:00:00;0.;5.;5.;0:00:00;
0:00:00;0.;5.;5.;0:00:00;
0:00:00;0.;5.;5.;0:00:00;
0:00:00;0.;5.;5.;0:00:00;
0:00:00;0.;5.;5.;0:00:00;
0:00:00;0.;5.;5.;0:00:00;
0:00:00;0.;5.;5.;0:00:00;
0:00:00;1.;1.;1.;0:00:00;
0:00:03;54.021;1.;1.;0:00:03;
0:00:07;5.621;1.;1.;0:00:03;
0:00:10;73.36;1.;1.;0:00:03;
0:00:14;73.36;1.;1.;0:00:03;
0:00:18;4.892;1.;1.;0:00:03;
0:00:18;4.892;5.;5.;0:00:00;
0:00:18;4.892;5.;5.;0:00:00;
0:00:18;4.892;5.;5.;0:00:00;
0:00:18;4.892;5.;5.;0:00:00;
0:00:18;4.892;5.;5.;0:00:00;
0:00:18;4.892;5.;5.;0:00:00;
0:00:18;4.892;5.;5.;0:00:00;
0:00:18;23.598;5.;5.;0:00:00;
0:00:18;23.598;1.;1.;0:00:00;
0:00:19;23.598;-3.75;-3.75;0:00:01;
0:00:21;23.598;-3.75;-3.75;0:00:01;
0:00:23;27.011;-3.75;-3.75;0:00:02;
0:00:26;31.01;-3.75;-3.75;0:00:02;
0:00:27;31.144;-3.75;-3.75;0:00:01;
0:00:32;23.598;-3.75;-3.75;0:00:04;
0:00:34;19.848;-3.75;-3.75;0:00:02;
0:00:40;19.848;-3.75;-3.75;0:00:05;
0:00:44;27.011;-3.75;-3.75;0:00:04;
0:00:49;35.205;-3.75;-3.75;0:00:04;
0:00:56;35.8;-3.75;-3.75;0:00:06;
0:01:05;19.848;-3.75;-3.75;0:00:09;
0:01:07;19.848;-3.75;-3.75;0:00:02;
0:01:10;16.098;-3.75;-3.75;0:00:02;
0:01:32;16.098;-3.75;-3.75;0:00:22;
0:01:34;18.498;-3.75;-3.75;0:00:02;
0:01:50;45.077;-3.75;-3.75;0:00:15;
0:01:52;45.077;-3.75;-3.75;0:00:02;
0:01:56;50.649;-3.75;-3.75;0:00:03;
0:01:58;50.649;-3.75;-3.75;0:00:02;
0:02:01;55.31;-3.75;-3.75;0:00:02;
0:02:05;55.31;-3.75;-3.75;0:00:03;
0:02:07;50.912;-3.75;-3.75;0:00:02;
0:02:10;50.912;-3.75;-3.75;0:00:02;
0:02:11;50.649;-3.75;-3.75;0:00:01;
0:02:14;50.649;-3.75;-3.75;0:00:02;
0:02:19;59.06;-3.75;-3.75;0:00:05;
0:02:28;59.06;-3.75;-3.75;0:00:08;
0:02:35;47.162;-3.75;-3.75;0:00:07;
0:02:40;47.162;-3.75;-3.75;0:00:05;
0:02:42;43.412;-3.75;-3.75;0:00:02;
0:02:49;35.812;-3.75;-3.75;0:00:07;
0:02:55;27.011;-3.75;-3.75;0:00:05;
0:03:02;19.411;-3.75;-3.75;0:00:07;
0:03:09;19.411;-3.75;-3.75;0:00:06;
0:03:16;27.011;-3.75;-3.75;0:00:07;
0:03:21;35.812;-3.75;-3.75;0:00:05;
0:03:28;43.412;-3.75;-3.75;0:00:07;
0:03:35;43.412;-3.75;-3.75;0:00:06;
0:03:37;39.662;-3.75;-3.75;0:00:02;
0:03:41;35.812;-3.75;-3.75;0:00:03;
0:03:46;27.011;-3.75;-3.75;0:00:05;
0:03:50;23.161;-3.75;-3.75;0:00:03;
0:03:56;23.161;-3.75;-3.75;0:00:06;
0:04:00;27.011;-3.75;-3.75;0:00:03;
0:04:05;35.812;-3.75;-3.75;0:00:05;
0:04:09;39.662;-3.75;-3.75;0:00:03;
0:04:16;39.662;-3.75;-3.75;0:00:06;
0:04:20;47.162;-3.75;-3.75;0:00:04;
0:04:24;45.077;-3.75;-3.75;0:00:04;
0:04:27;45.077;-3.75;-3.75;0:00:02;
0:04:37;62.81;-3.75;-3.75;0:00:10;
0:04:52;62.81;-3.75;-3.75;0:00:14;
0:04:54;60.685;-3.75;-3.75;0:00:02;
0:05:32;65.785;-3.75;-3.75;0:00:37;
0:05:38;60.685;-3.75;-3.75;0:00:06;
0:05:41;62.81;-3.75;-3.75;0:00:02;
0:06:07;42.162;-3.75;-3.75;0:00:26;
0:06:23;16.098;-3.75;-3.75;0:00:15;
0:06:28;16.098;-3.75;-3.75;0:00:04;
0:06:30;12.348;-3.75;-3.75;0:00:02;
0:06:52;12.348;-3.75;-3.75;0:00:22;
0:06:58;18.498;-3.75;-3.75;0:00:05;
0:07:26;65.41;-3.75;-3.75;0:00:28;
0:07:27;66.56;-3.75;-3.75;0:00:01;
0:07:55;66.56;-3.75;-3.75;0:00:28;
0:08:01;60.41;-3.75;-3.75;0:00:05;
0:08:29;13.498;-3.75;-3.75;0:00:28;
0:08:30;12.348;-3.75;-3.75;0:00:01;
0:08:37;12.348;-3.75;-3.75;0:00:06;
0:08:37;12.348;10.;10.;0:00:00;
0:08:37;23.598;10.;10.;0:00:00;
0:08:37;23.598;-2.75;-2.75;0:00:00;
0:08:38;23.598;-7.5;-7.5;0:00:01;
0:08:40;23.598;-7.5;-7.5;0:00:01;
0:08:42;27.011;-7.5;-7.5;0:00:02;
0:08:45;31.01;-7.5;-7.5;0:00:02;
0:08:46;31.144;-7.5;-7.5;0:00:01;
0:08:51;23.598;-7.5;-7.5;0:00:04;
0:08:53;19.848;-7.5;-7.5;0:00:02;
0:08:59;19.848;-7.5;-7.5;0:00:05;
0:09:03;27.011;-7.5;-7.5;0:00:04;
0:09:08;35.205;-7.5;-7.5;0:00:04;
0:09:14;35.8;-7.5;-7.5;0:00:06;
0:09:24;19.848;-7.5;-7.5;0:00:09;
0:09:26;19.848;-7.5;-7.5;0:00:02;
0:09:29;16.098;-7.5;-7.5;0:00:02;
0:09:51;16.098;-7.5;-7.5;0:00:22;
0:09:53;18.498;-7.5;-7.5;0:00:02;
0:10:09;45.077;-7.5;-7.5;0:00:15;
0:10:11;45.077;-7.5;-7.5;0:00:02;
0:10:15;50.649;-7.5;-7.5;0:00:03;
0:10:17;50.649;-7.5;-7.5;0:00:02;
0:10:20;55.31;-7.5;-7.5;0:00:02;
0:10:24;55.31;-7.5;-7.5;0:00:03;
0:10:26;50.912;-7.5;-7.5;0:00:02;
0:10:29;50.912;-7.5;-7.5;0:00:02;
0:10:30;50.649;-7.5;-7.5;0:00:01;
0:10:33;50.649;-7.5;-7.5;0:00:02;
0:10:38;59.06;-7.5;-7.5;0:00:05;
0:10:46;59.06;-7.5;-7.5;0:00:08;
0:10:54;47.162;-7.5;-7.5;0:00:07;
0:10:59;47.162;-7.5;-7.5;0:00:05;
0:11:01;43.412;-7.5;-7.5;0:00:02;
0:11:08;35.812;-7.5;-7.5;0:00:07;
0:11:14;27.011;-7.5;-7.5;0:00:05;
0:11:21;19.411;-7.5;-7.5;0:00:07;
0:11:27;19.411;-7.5;-7.5;0:00:06;
0:11:35;27.011;-7.5;-7.5;0:00:07;
0:11:40;35.812;-7.5;-7.5;0:00:05;
0:11:47;43.412;-7.5;-7.5;0:00:07;
0:11:54;43.412;-7.5;-7.5;0:00:06;
0:11:56;39.662;-7.5;-7.5;0:00:02;
0:12:00;35.812;-7.5;-7.5;0:00:03;
0:12:05;27.011;-7.5;-7.5;0:00:05;
0:12:09;23.161;-7.5;-7.5;0:00:03;
0:12:15;23.161;-7.5;-7.5;0:00:06;
0:12:19;27.011;-7.5;-7.5;0:00:03;
0:12:24;35.812;-7.5;-7.5;0:00:05;
0:12:28;39.662;-7.5;-7.5;0:00:03;
0:12:35;39.662;-7.5;-7.5;0:00:06;
0:12:39;47.162;-7.5;-7.5;0:00:04;
0:12:43;45.077;-7.5;-7.5;0:00:04;
0:12:46;45.077;-7.5;-7.5;0:00:02;
0:12:56;62.81;-7.5;-7.5;0:00:10;
0:13:11;62.81;-7.5;-7.5;0:00:14;
0:13:13;60.685;-7.5;-7.5;0:00:02;
0:13:50;65.785;-7.5;-7.5;0:00:37;
0:13:57;60.685;-7.5;-7.5;0:00:06;
