Объем;Объем кадра;Объем;X относительное;Y относительное;Z относительное;Время;Длина;Угол;Угол X выч;Угол Y выч;Угол Z выч;Время кадра;Радиус выч;X центра выч;Y центра выч;Z центра выч;Длина кадра;Координаты;Подача;Подача в ;Плоскость;Охлаждение;Шпиндель;Направление вращ. шпинделя;I;J;K;X станка;Y станка;Z станка;Корр.СК X;Корр.СК Y;Корр.СК Z;СК X;СК Y;СК Z;A станка;B станка;C станка;A относительное;B относительное;C относительное;Корр.X;Корр.Y;Корр.Z;Радиус;Программа;Программа (файл);Инструмент;Следующий инструмент;Кадр;КадрNum;Интерполяции тип;Контурная коррекция;Корр. на длину;Коррекция на диаметр;Коррекция на длину;Цикл;Выход из цикла;Высечка;Шаг высечки;X зажим;Y зажим;Z зажим;A зажим;B зажим;C зажим;СКП;
121508.1015;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;Абсолютные;0.;100 ;XY;Выкл.;0.;Нет;0.;0.;0.;0.;0.;5.;0.;0.;5.;0.;0.;5.;0.;0.;0.;0.;0.;0.;0.;0.;5.;0.;;C:\ncm-prt\demo\demo.NC;1;-1;1;-1;.....;Выкл.;Выкл.;0.;0.;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121508.1015;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;Абсолютные;0.;100 ;XY;Выкл.;0.;Нет;0.;0.;0.;0.;0.;5.;0.;0.;5.;0.;0.;5.;0.;0.;0.;0.;0.;0.;0.;0.;5.;0.;;C:\ncm-prt\demo\demo.NC;1;-1;2;1;.....;Выкл.;Выкл.;0.;0.;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121508.1015;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;Абсолютные;0.;100 ;XY;Выкл.;0.;Нет;0.;0.;0.;0.;0.;5.;0.;0.;5.;0.;0.;5.;0.;0.;0.;0.;0.;0.;0.;0.;5.;0.;;C:\ncm-prt\demo\demo.NC;1;-1;3;2;.....;Выкл.;Выкл.;0.;0.;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121508.1015;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;Абсолютные;0.;100 ;XY;Выкл.;0.;Нет;0.;0.;0.;0.;0.;5.;0.;0.;5.;0.;0.;5.;0.;0.;0.;0.;0.;0.;0.;0.;5.;0.;;C:\ncm-prt\demo\demo.NC;3;-1;4;3;.....;Выкл.;Выкл.;0.;0.;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121508.1015;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;Абсолютные;0.;100 ;XY;Выкл.;2000.;По час.;0.;0.;0.;0.;0.;5.;0.;0.;5.;0.;0.;5.;0.;0.;0.;0.;0.;0.;0.;0.;5.;0.;;C:\ncm-prt\demo\demo.NC;3;-1;5;4;.....;Выкл.;Выкл.;0.;0.;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121508.1015;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;Абсолютные;0.;100 ;XY;Выкл.;2000.;По час.;0.;0.;0.;0.;0.;5.;0.;0.;5.;0.;0.;5.;0.;0.;0.;0.;0.;0.;0.;0.;5.;0.;;C:\ncm-prt\demo\demo.NC;3;-1;6;5;.....;Выкл.;Выкл.;0.;0.;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121508.1015;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;Абсолютные;0.;100 ;XY;Вкл. Охл.;2000.;По час.;0.;0.;0.;0.;0.;5.;0.;0.;5.;0.;0.;5.;0.;0.;0.;0.;0.;0.;0.;0.;5.;0.;;C:\ncm-prt\demo\demo.NC;3;-1;7;6;.....;Выкл.;Выкл.;0.;0.;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121508.1015;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;0:00:00;0.;0.;0.;0.;0.;Абсолютные;0.;100 ;XY;Вкл. Охл.;2000.;По час.;0.;0.;0.;0.;0.;5.;0.;0.;5.;0.;0.;5.;0.;0.;0.;0.;0.;0.;0.;0.;5.;0.;;C:\ncm-prt\demo\demo.NC;3;-1;8;7;Хол. ход;Выкл.;Выкл.;0.;0.;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121508.1015;0.;0.;1.;0.;-4.;0:00:00;4.31741;0.;75.96376;90.;165.96376;0:00:00;0.;0.;0.;0.;4.31741;Абсолютные;0.;100 ;XY;Вкл. Охл.;2000.;По час.;0.;0.;0.;1.;0.;1.;1.;0.;0.8;1.;0.;1.;0.;0.;0.;0.;0.;0.;1.;0.;0.8;0.;;C:\ncm-prt\demo\demo.NC;3;-1;9;8;Хол. ход;Выкл.;-;0.;0.2;Нет;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121260.1502;0.;0.;0.;0.;0.;0:00:03;84.95296;0.;25.27799;64.72201;90.;0:00:03;0.;0.;0.;0.;0.;Абсолютные;200.;100 ;XY;Вкл. Охл.;2000.;По час.;0.;0.;0.;54.021;25.038;1.;54.021;25.038;0.8;54.021;25.038;1.;0.;0.;0.;0.;0.;0.;54.021;25.038;0.8;0.;;C:\ncm-prt\demo\demo.NC;3;-1;10;9;Хол. ход;Выкл.;-;0.;0.2;Сверление;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
121012.1988;0.;0.;0.;0.;0.;0:00:07;175.91403;0.;134.57524;44.57524;90.;0:00:03;0.;0.;0.;0.;0.;Абсолютные;200.;100 ;XY;Вкл. Охл.;2000.;По час.;0.;0.;0.;5.621;74.161;1.;5.621;74.161;0.8;5.621;74.161;1.;0.;0.;0.;0.;0.;0.;5.621;74.161;0.8;0.;;C:\ncm-prt\demo\demo.NC;3;-1;11;10;Хол. ход;Выкл.;-;0.;0.2;Сверление;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
120764.2476;0.;0.;0.;0.;0.;0:00:10;265.66071;0.;0.86268;89.13732;90.;0:00:03;0.;0.;0.;0.;0.;Абсолютные;200.;100 ;XY;Вкл. Охл.;2000.;По час.;0.;0.;0.;73.36;75.181;1.;73.36;75.181;0.8;73.36;75.181;1.;0.;0.;0.;0.;0.;0.;73.36;75.181;0.8;0.;;C:\ncm-prt\demo\demo.NC;3;-1;12;11;Хол. ход;Выкл.;-;0.;0.2;Сверление;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
120516.2964;0.;0.;0.;0.;0.;0:00:14;357.58571;0.;90.;180.;90.;0:00:03;0.;0.;0.;0.;0.;Абсолютные;200.;100 ;XY;Вкл. Охл.;2000.;По час.;0.;0.;0.;73.36;5.256;1.;73.36;5.256;0.8;73.36;5.256;1.;0.;0.;0.;0.;0.;0.;73.36;5.256;0.8;0.;;C:\ncm-prt\demo\demo.NC;3;-1;13;12;Хол. ход;Выкл.;-;0.;0.2;Сверление;к исходной;Выкл.;0.;Свободна;Свободна;Свободна;Свободна;Свободна;Свободна;СКП 1;
