Объем;Программа (файл);Программа;КадрNum;Подача;Шпиндель;Инструмент;Интерполяции тип;СКП;X относительное;Y относительное;Z относительное;I;J;K;X станка;Y станка;Z станка;A станка;B станка;C станка;Коррекция на диаметр;Время;Контурная коррекция;СК X;СК Y;СК Z;
850420.541;C:\ncm-prt\ADEM-N33.NC;;-1;0.;0.;0;.....;СКП 1;0.;0.;0.;0.;0.;0.;0.;0.;300.;0.;0.;0.;0.;0:00:00;Выкл.;0.;0.;300.;
850420.541;C:\ncm-prt\ADEM-N33.NC;0001;-1;0.;0.;0;.....;СКП 1;0.;0.;0.;0.;0.;0.;0.;0.;300.;0.;0.;0.;0.;0:00:00;Выкл.;0.;0.;300.;
850420.541;C:\ncm-prt\ADEM-N33.NC;0001;5;0.;0.;2;.....;СКП 1;0.;0.;0.;0.;0.;0.;0.;0.;300.;0.;0.;0.;0.;0:00:00;Выкл.;0.;0.;300.;
850420.541;C:\ncm-prt\ADEM-N33.NC;0001;15;0.;0.;2;Хол. ход;СКП 1;116.841;0.;0.;0.;0.;0.;116.841;0.;300.;0.;0.;0.;0.;0:00:00;Выкл.;116.841;0.;300.;
850420.541;C:\ncm-prt\ADEM-N33.NC;0001;-1;0.;500.;2;Хол. ход;СКП 1;0.;0.;0.;0.;0.;0.;116.841;0.;300.;0.;0.;0.;0.;0:00:00;Выкл.;116.841;0.;300.;
850420.541;C:\ncm-prt\ADEM-N33.NC;0001;20;0.;500.;2;Хол. ход;СКП 1;0.;0.;-100.;0.;0.;0.;116.841;0.;200.;0.;0.;0.;0.;0:00:01;Выкл.;116.841;0.;200.;
850420.541;C:\ncm-prt\ADEM-N33.NC;0001;25;0.;500.;2;Отрезок;СКП 1;0.;0.;-130.;0.;0.;0.;116.841;0.;70.;0.;0.;0.;0.;0:00:01;Выкл.;116.841;0.;70.;
848620.9272;C:\ncm-prt\ADEM-N33.NC;0001;30;50.;500.;2;Отрезок;СКП 1;0.;0.;-23.;0.;0.;0.;116.841;0.;47.;0.;0.;0.;0.;0:00:28;Выкл.;116.841;0.;47.;
848336.7281;C:\ncm-prt\ADEM-N33.NC;0001;35;20.;500.;2;Отрезок;СКП 1;0.;0.;-2.;0.;0.;0.;116.841;0.;45.;0.;0.;0.;0.;0:00:34;Выкл.;116.841;0.;45.;
821238.3507;C:\ncm-prt\ADEM-N33.NC;0001;40;20.;500.;2;Отрезок;СКП 1;-0.001;114.3;0.;0.;0.;0.;116.84;114.3;45.;0.;0.;0.;0.;0:06:17;Выкл.;116.84;114.3;45.;
